#T	β	c	e	chi	s
0.0456621	21.9	9.19774e-07	-2.19299	7.17873	-0.391597
0.0454545	22	9.15612e-07	-2.19299	7.21151	-0.391597
0.0452489	22.1	9.12436e-07	-2.19299	7.24429	-0.391597
0.045045	22.2	9.08298e-07	-2.19299	7.27707	-0.391597
0.044843	22.3	9.07074e-07	-2.19299	7.30985	-0.391597
0.0446429	22.4	9.05226e-07	-2.19299	7.34263	-0.391597
0.0444444	22.5	9.04786e-07	-2.19299	7.37541	-0.391597
0.0442478	22.6	9.04223e-07	-2.19299	7.40818	-0.391597
0.0440529	22.7	9.04672e-07	-2.19299	7.44096	-0.391597
0.0438596	22.8	9.05868e-07	-2.19299	7.47374	-0.391597
0.0436681	22.9	9.07035e-07	-2.19299	7.50652	-0.391597
0.0434783	23	9.07787e-07	-2.19299	7.5393	-0.391597
0.04329	23.1	9.11645e-07	-2.19299	7.57208	-0.391597
0.0431034	23.2	9.12417e-07	-2.19299	7.60486	-0.391597
0.0429185	23.3	9.15848e-07	-2.19299	7.63764	-0.391597
0.042735	23.4	9.18772e-07	-2.19299	7.67042	-0.391597
0.0425532	23.5	9.22162e-07	-2.19299	7.7032	-0.391597
0.0423729	23.6	9.26113e-07	-2.19299	7.73598	-0.391597
0.0421941	23.7	9.30041e-07	-2.19299	7.76876	-0.391597
0.0420168	23.8	9.33378e-07	-2.19299	7.80154	-0.391597
0.041841	23.9	9.38345e-07	-2.19299	7.83432	-0.391597
0.0416667	24	9.4219e-07	-2.19299	7.8671	-0.391597
0.0414938	24.1	9.47177e-07	-2.19299	7.89988	-0.391597
0.0413223	24.2	9.51984e-07	-2.19299	7.93266	-0.391597
0.0411523	24.3	9.55642e-07	-2.19299	7.96544	-0.391597
0.0409836	24.4	9.60909e-07	-2.19299	7.99822	-0.391597
0.0408163	24.5	9.65285e-07	-2.19299	8.031	-0.391597
0.0406504	24.6	9.7028e-07	-2.19299	8.06378	-0.391597
0.0404858	24.7	9.75293e-07	-2.19299	8.09656	-0.391597
0.0403226	24.8	9.80416e-07	-2.19299	8.12933	-0.391597
0.0401606	24.9	9.85971e-07	-2.19299	8.16211	-0.391597
0.04	25	9.9074e-07	-2.19299	8.19489	-0.391597
0.0398406	25.1	9.96966e-07	-2.19299	8.22767	-0.391597
0.0396825	25.2	1.00271e-06	-2.19299	8.26045	-0.391597
0.0395257	25.3	1.00741e-06	-2.19299	8.29323	-0.391597
0.0393701	25.4	1.01329e-06	-2.19299	8.32601	-0.391597
0.0392157	25.5	1.01932e-06	-2.19299	8.35879	-0.391597
0.0390625	25.6	1.0263e-06	-2.19299	8.39157	-0.391597
0.0389105	25.7	1.03231e-06	-2.19299	8.42435	-0.391597
0.0387597	25.8	1.03798e-06	-2.19299	8.45713	-0.391597
0.03861	25.9	1.04529e-06	-2.19299	8.48991	-0.391597
0.0384615	26	1.05139e-06	-2.19299	8.52269	-0.391597
0.0383142	26.1	1.05792e-06	-2.19299	8.55547	-0.391597
0.0381679	26.2	1.06477e-06	-2.19299	8.58825	-0.391597
0.0380228	26.3	1.07324e-06	-2.19299	8.62103	-0.391597
0.0378788	26.4	1.07995e-06	-2.19299	8.65381	-0.391597
0.0377358	26.5	1.08689e-06	-2.19299	8.68659	-0.391597
0.037594	26.6	1.09385e-06	-2.19299	8.71937	-0.391597
0.0374532	26.7	1.10243e-06	-2.19299	8.75215	-0.391597
0.0373134	26.8	1.10903e-06	-2.19299	8.78493	-0.391597
0.0371747	26.9	1.11586e-06	-2.19299	8.8177	-0.391597
0.037037	27	1.12373e-06	-2.19299	8.85048	-0.391597
0.0369004	27.1	1.13079e-06	-2.19299	8.88326	-0.391597
0.0367647	27.2	1.13958e-06	-2.19299	8.91604	-0.391597
0.03663	27.3	1.14643e-06	-2.19299	8.94882	-0.391597
0.0364964	27.4	1.15473e-06	-2.19299	8.9816	-0.391597
0.0363636	27.5	1.16187e-06	-2.19299	9.01438	-0.391597
0.0362319	27.6	1.16988e-06	-2.19299	9.04716	-0.391597
0.0361011	27.7	1.17851e-06	-2.19299	9.07994	-0.391597
0.0359712	27.8	1.18614e-06	-2.19299	9.11272	-0.391597
0.0358423	27.9	1.19362e-06	-2.19299	9.1455	-0.391597
0.0357143	28	1.20095e-06	-2.19299	9.17828	-0.391597
0.0355872	28.1	1.21019e-06	-2.19299	9.21106	-0.391597
0.035461	28.2	1.21735e-06	-2.19299	9.24384	-0.391597
0.0353357	28.3	1.22638e-06	-2.19299	9.27662	-0.391597
0.0352113	28.4	1.23559e-06	-2.19299	9.3094	-0.391597
0.0350877	28.5	1.24299e-06	-2.19299	9.34218	-0.391597
0.034965	28.6	1.25044e-06	-2.19299	9.37496	-0.391597
0.0348432	28.7	1.25982e-06	-2.19299	9.40774	-0.391597
0.0347222	28.8	1.2665e-06	-2.19299	9.44052	-0.391597
0.0346021	28.9	1.27691e-06	-2.19299	9.4733	-0.391597
0.0344828	29	1.28435e-06	-2.19299	9.50608	-0.391597
0.0343643	29.1	1.2917e-06	-2.19299	9.53885	-0.391597
0.0342466	29.2	1.3015e-06	-2.19299	9.57163	-0.391597
0.0341297	29.3	1.30865e-06	-2.19299	9.60441	-0.391597
0.0340136	29.4	1.31784e-06	-2.19299	9.63719	-0.391597
0.0338983	29.5	1.32581e-06	-2.19299	9.66997	-0.391597
0.0337838	29.6	1.33422e-06	-2.19299	9.70275	-0.391597
0.03367	29.7	1.34153e-06	-2.19299	9.73553	-0.391597
0.033557	29.8	1.35294e-06	-2.19299	9.76831	-0.391597
0.0334448	29.9	1.36012e-06	-2.19299	9.80109	-0.391597
0.0333333	30	1.36879e-06	-2.19299	9.83387	-0.391597
0.0332226	30.1	1.37567e-06	-2.19299	9.86665	-0.391597
0.0331126	30.2	1.3839e-06	-2.19299	9.89943	-0.391597
0.0330033	30.3	1.39323e-06	-2.19299	9.93221	-0.391597
0.0328947	30.4	1.3985e-06	-2.19299	9.96499	-0.391597
0.0327869	30.5	1.40758e-06	-2.19299	9.99777	-0.391597
0.0326797	30.6	1.4167e-06	-2.19299	10.0305	-0.391597
0.0325733	30.7	1.42442e-06	-2.19299	10.0633	-0.391597
0.0324675	30.8	1.43207e-06	-2.19299	10.0961	-0.391597
0.0323625	30.9	1.44225e-06	-2.19299	10.1289	-0.391597
0.0322581	31	1.44943e-06	-2.19299	10.1617	-0.391597
0.0321543	31.1	1.45758e-06	-2.19299	10.1944	-0.391597
0.0320513	31.2	1.46733e-06	-2.19299	10.2272	-0.391597
0.0319489	31.3	1.47456e-06	-2.19299	10.26	-0.391597
0.0318471	31.4	1.48401e-06	-2.19299	10.2928	-0.391597
0.031746	31.5	1.4931e-06	-2.19299	10.3256	-0.391597
0.0316456	31.6	1.50214e-06	-2.19299	10.3583	-0.391597
0.0315457	31.7	1.51051e-06	-2.19299	10.3911	-0.391597
0.0314465	31.8	1.51886e-06	-2.19299	10.4239	-0.391597
0.031348	31.9	1.52873e-06	-2.19299	10.4567	-0.391597
0.03125	32	1.53626e-06	-2.19299	10.4895	-0.391597
0.0311526	32.1	1.54643e-06	-2.19299	10.5222	-0.391597
0.0310559	32.2	1.55631e-06	-2.19299	10.555	-0.391597
0.0309598	32.3	1.56417e-06	-2.19299	10.5878	-0.391597
0.0308642	32.4	1.57328e-06	-2.19299	10.6206	-0.391597
0.0307692	32.5	1.58332e-06	-2.19299	10.6534	-0.391597
0.0306748	32.6	1.59212e-06	-2.19299	10.6861	-0.391597
0.030581	32.7	1.60186e-06	-2.19299	10.7189	-0.391597
0.0304878	32.8	1.61087e-06	-2.19299	10.7517	-0.391597
0.0303951	32.9	1.62007e-06	-2.19299	10.7845	-0.391597
0.030303	33	1.62989e-06	-2.19299	10.8173	-0.391597
0.0302115	33.1	1.63823e-06	-2.19299	10.85	-0.391597
0.0301205	33.2	1.64824e-06	-2.19299	10.8828	-0.391597
0.03003	33.3	1.65768e-06	-2.19299	10.9156	-0.391597
0.0299401	33.4	1.66728e-06	-2.19299	10.9484	-0.391597
0.0298507	33.5	1.67538e-06	-2.19299	10.9812	-0.391597
0.0297619	33.6	1.68569e-06	-2.19299	11.0139	-0.391597
0.0296736	33.7	1.6933e-06	-2.19299	11.0467	-0.391597
0.0295858	33.8	1.70212e-06	-2.19299	11.0795	-0.391597
0.0294985	33.9	1.71397e-06	-2.19299	11.1123	-0.391597
0.0294118	34	1.72258e-06	-2.19299	11.1451	-0.391597
0.0293255	34.1	1.73046e-06	-2.19299	11.1778	-0.391597
0.0292398	34.2	1.74074e-06	-2.19299	11.2106	-0.391597
0.0291545	34.3	1.75059e-06	-2.19299	11.2434	-0.391597
0.0290698	34.4	1.75991e-06	-2.19299	11.2762	-0.391597
0.0289855	34.5	1.76786e-06	-2.19299	11.309	-0.391597
0.0289017	34.6	1.77969e-06	-2.19299	11.3417	-0.391597
0.0288184	34.7	1.78778e-06	-2.19299	11.3745	-0.391597
0.0287356	34.8	1.79797e-06	-2.19299	11.4073	-0.391597
0.0286533	34.9	1.80691e-06	-2.19299	11.4401	-0.391597
