#T	β	c	e	chiz	chic	s
0.0555556	18	0.00316261	-1.71917	1.78408e-07	7.7493e-08	0.0306866
0.0552486	18.1	0.00309831	-1.71917	1.6425e-07	7.13855e-08	0.0306696
0.0549451	18.2	0.00303537	-1.71917	1.51263e-07	6.58198e-08	0.030653
0.0546448	18.3	0.00297376	-1.71917	1.39345e-07	6.07412e-08	0.0306369
0.0543478	18.4	0.00291345	-1.71917	1.28407e-07	5.60995e-08	0.0306212
0.0540541	18.5	0.00285442	-1.71917	1.18363e-07	5.18486e-08	0.0306059
0.0537634	18.6	0.00279663	-1.71917	1.09137e-07	4.79479e-08	0.0305911
0.0534759	18.7	0.00274008	-1.71917	1.00658e-07	4.43611e-08	0.0305766
0.0531915	18.8	0.00268474	-1.71917	9.2863e-08	4.10569e-08	0.0305625
0.0529101	18.9	0.00263057	-1.71917	8.56939e-08	3.80084e-08	0.0305487
0.0526316	19	0.00257757	-1.71917	7.90984e-08	3.51917e-08	0.0305354
0.052356	19.1	0.00252571	-1.71918	7.3029e-08	3.25871e-08	0.0305224
0.0520833	19.2	0.00247496	-1.71918	6.74428e-08	3.01762e-08	0.0305097
0.0518135	19.3	0.00242532	-1.71918	6.23009e-08	2.79429e-08	0.0304973
0.0515464	19.4	0.00237674	-1.71918	5.75678e-08	2.58729e-08	0.0304853
0.0512821	19.5	0.00232923	-1.71918	5.32109e-08	2.3953e-08	0.0304736
0.0510204	19.6	0.00228274	-1.71918	4.9201e-08	2.21713e-08	0.0304622
0.0507614	19.7	0.00223728	-1.71918	4.55111e-08	2.05173e-08	0.0304511
0.0505051	19.8	0.0021928	-1.71918	4.21165e-08	1.89819e-08	0.0304403
0.0502513	19.9	0.00214931	-1.71918	3.89943e-08	1.75568e-08	0.0304297
0.05	20	0.00210677	-1.71918	3.61236e-08	1.62347e-08	0.0304195
0.0497512	20.1	0.00206516	-1.71918	3.3485e-08	1.50092e-08	0.0304095
0.049505	20.2	0.00202448	-1.71918	3.10607e-08	1.38741e-08	0.0303997
0.0492611	20.3	0.0019847	-1.71918	2.88341e-08	1.28239e-08	0.0303903
0.0490196	20.4	0.00194581	-1.71918	2.67899e-08	1.18537e-08	0.030381
0.0487805	20.5	0.00190778	-1.71918	2.49139e-08	1.09581e-08	0.030372
0.0485437	20.6	0.00187061	-1.71918	2.31931e-08	1.01326e-08	0.0303633
0.0483092	20.7	0.00183427	-1.71918	2.16153e-08	9.37254e-09	0.0303547
0.0480769	20.8	0.00179874	-1.71918	2.01691e-08	8.67397e-09	0.0303464
0.0478469	20.9	0.00176402	-1.71918	1.88441e-08	8.03291e-09	0.0303383
0.047619	21	0.00173008	-1.71919	1.76306e-08	7.44535e-09	0.0303304
0.0473934	21.1	0.00169692	-1.71919	1.65197e-08	6.90802e-09	0.0303227
0.0471698	21.2	0.00166451	-1.71919	1.5503e-08	6.4177e-09	0.0303152
0.0469484	21.3	0.00163284	-1.71919	1.45731e-08	5.97125e-09	0.0303079
0.046729	21.4	0.00160189	-1.71919	1.37229e-08	5.56607e-09	0.0303008
0.0465116	21.5	0.00157166	-1.71919	1.29459e-08	5.19946e-09	0.0302939
0.0462963	21.6	0.00154213	-1.71919	1.22364e-08	4.86832e-09	0.0302871
0.0460829	21.7	0.00151328	-1.71919	1.1589e-08	4.57054e-09	0.0302805
0.0458716	21.8	0.0014851	-1.71919	1.09987e-08	4.30342e-09	0.0302741
0.0456621	21.9	0.00145757	-1.71919	1.04611e-08	4.06491e-09	0.0302679
0.0454545	22	0.0014307	-1.71919	9.97207e-09	3.85287e-09	0.0302618
0.0452489	22.1	0.00140445	-1.71919	9.52792e-09	3.66508e-09	0.0302558
0.045045	22.2	0.00137882	-1.71919	9.12527e-09	3.4998e-09	0.03025
0.044843	22.3	0.0013538	-1.71919	8.76101e-09	3.35567e-09	0.0302444
0.0446429	22.4	0.00132937	-1.71919	8.43235e-09	3.23134e-09	0.0302389
0.0444444	22.5	0.00130553	-1.71919	8.1367e-09	3.12616e-09	0.0302335
0.0442478	22.6	0.00128225	-1.71919	7.87172e-09	3.03981e-09	0.0302283
0.0440529	22.7	0.00125954	-1.71919	7.63523e-09	2.97244e-09	0.0302232
0.0438596	22.8	0.00123737	-1.71919	7.42523e-09	2.9247e-09	0.0302182
0.0436681	22.9	0.00121574	-1.71919	7.23982e-09	2.8981e-09	0.0302134
0.0434783	23	0.00119464	-1.71919	7.0772e-09	2.89398e-09	0.0302087
0.04329	23.1	0.00117405	-1.71919	6.93562e-09	2.91412e-09	0.030204
0.0431034	23.2	0.00115397	-1.71919	6.81339e-09	2.96014e-09	0.0301995
0.0429185	23.3	0.00113438	-1.71919	6.70879e-09	3.03424e-09	0.0301952
0.042735	23.4	0.00111527	-1.71919	6.6201e-09	3.1366e-09	0.0301909
