#T	β	c	e	chiz	chic	s
0.0346021	28.9	0.0239951	-0.440844	0.117607	0.102001	0.0216114
0.0344828	29	0.0239158	-0.440847	0.117591	0.101915	0.0215286
0.0343643	29.1	0.0238371	-0.44085	0.117574	0.101829	0.0214465
0.0342466	29.2	0.0237589	-0.440853	0.117557	0.101743	0.0213648
0.0341297	29.3	0.0236815	-0.440856	0.117539	0.101657	0.0212838
0.0340136	29.4	0.0236046	-0.440858	0.117521	0.10157	0.0212032
0.0338983	29.5	0.0235283	-0.440861	0.117503	0.101484	0.0211232
0.0337838	29.6	0.0234527	-0.440864	0.117484	0.101397	0.0210437
0.03367	29.7	0.0233776	-0.440867	0.117464	0.101311	0.0209648
0.033557	29.8	0.0233031	-0.440869	0.117444	0.101224	0.0208863
0.0334448	29.9	0.0232292	-0.440872	0.117424	0.101137	0.0208084
0.0333333	30	0.0231559	-0.440874	0.117403	0.101051	0.020731
0.0332226	30.1	0.0230832	-0.440877	0.117382	0.100964	0.0206541
0.0331126	30.2	0.0230111	-0.440879	0.117361	0.100877	0.0205777
0.0330033	30.3	0.0229395	-0.440882	0.117339	0.10079	0.0205017
0.0328947	30.4	0.0228684	-0.440884	0.117316	0.100702	0.0204263
0.0327869	30.5	0.022798	-0.440887	0.117293	0.100615	0.0203513
0.0326797	30.6	0.0227281	-0.440889	0.11727	0.100528	0.0202768
0.0325733	30.7	0.0226587	-0.440892	0.117246	0.10044	0.0202028
0.0324675	30.8	0.0225899	-0.440894	0.117222	0.100352	0.0201293
0.0323625	30.9	0.0225216	-0.440897	0.117197	0.100265	0.0200562
0.0322581	31	0.0224538	-0.440899	0.117172	0.100177	0.0199835
0.0321543	31.1	0.0223866	-0.440901	0.117146	0.100089	0.0199114
0.0320513	31.2	0.0223199	-0.440904	0.11712	0.100001	0.0198396
0.0319489	31.3	0.0222537	-0.440906	0.117093	0.0999129	0.0197683
0.0318471	31.4	0.0221881	-0.440908	0.117066	0.0998247	0.0196975
0.031746	31.5	0.0221229	-0.44091	0.117038	0.0997364	0.0196271
0.0316456	31.6	0.0220583	-0.440913	0.11701	0.0996479	0.0195571
0.0315457	31.7	0.0219942	-0.440915	0.116981	0.0995594	0.0194875
0.0314465	31.8	0.0219305	-0.440917	0.116952	0.0994708	0.0194184
0.031348	31.9	0.0218674	-0.440919	0.116922	0.099382	0.0193496
0.03125	32	0.0218047	-0.440921	0.116892	0.0992932	0.0192813
0.0311526	32.1	0.0217426	-0.440923	0.116862	0.0992042	0.0192134
0.0310559	32.2	0.0216809	-0.440925	0.11683	0.0991151	0.0191459
0.0309598	32.3	0.0216197	-0.440928	0.116799	0.0990259	0.0190788
0.0308642	32.4	0.021559	-0.44093	0.116767	0.0989366	0.0190121
0.0307692	32.5	0.0214987	-0.440932	0.116734	0.0988472	0.0189458
0.0306748	32.6	0.0214389	-0.440934	0.116701	0.0987577	0.0188799
0.030581	32.7	0.0213796	-0.440936	0.116667	0.098668	0.0188143
0.0304878	32.8	0.0213208	-0.440938	0.116633	0.0985783	0.0187492
0.0303951	32.9	0.0212624	-0.44094	0.116598	0.0984884	0.0186844
0.030303	33	0.0212044	-0.440942	0.116562	0.0983984	0.01862
0.0302115	33.1	0.0211469	-0.440943	0.116527	0.0983083	0.018556
0.0301205	33.2	0.0210899	-0.440945	0.11649	0.098218	0.0184923
0.03003	33.3	0.0210333	-0.440947	0.116453	0.0981277	0.018429
0.0299401	33.4	0.0209771	-0.440949	0.116416	0.0980372	0.0183661
0.0298507	33.5	0.0209214	-0.440951	0.116378	0.0979466	0.0183035
0.0297619	33.6	0.0208661	-0.440953	0.116339	0.0978559	0.0182412
0.0296736	33.7	0.0208112	-0.440955	0.1163	0.097765	0.0181793
0.0295858	33.8	0.0207568	-0.440957	0.11626	0.097674	0.0181178
0.0294985	33.9	0.0207028	-0.440958	0.11622	0.0975829	0.0180566
0.0294118	34	0.0206491	-0.44096	0.11618	0.0974916	0.0179958
0.0293255	34.1	0.020596	-0.440962	0.116138	0.0974002	0.0179352
0.0292398	34.2	0.0205432	-0.440964	0.116096	0.0973087	0.017875
0.0291545	34.3	0.0204908	-0.440965	0.116054	0.0972171	0.0178152
0.0290698	34.4	0.0204389	-0.440967	0.116011	0.0971253	0.0177557
0.0289855	34.5	0.0203873	-0.440969	0.115968	0.0970334	0.0176965
0.0289017	34.6	0.0203361	-0.440971	0.115923	0.0969413	0.0176376
0.0288184	34.7	0.0202854	-0.440972	0.115879	0.0968491	0.017579
0.0287356	34.8	0.020235	-0.440974	0.115834	0.0967568	0.0175208
0.0286533	34.9	0.020185	-0.440976	0.115788	0.0966643	0.0174628
0.0285714	35	0.0201355	-0.440977	0.115742	0.0965717	0.0174052
0.02849	35.1	0.0200862	-0.440979	0.115695	0.096479	0.0173479
0.0284091	35.2	0.0200374	-0.440981	0.115647	0.0963861	0.0172908
0.0283286	35.3	0.019989	-0.440982	0.115599	0.096293	0.0172341
0.0282486	35.4	0.0199409	-0.440984	0.115551	0.0961998	0.0171777
0.028169	35.5	0.0198932	-0.440985	0.115501	0.0961065	0.0171216
0.0280899	35.6	0.0198459	-0.440987	0.115452	0.096013	0.0170657
0.0280112	35.7	0.0197989	-0.440988	0.115401	0.0959194	0.0170102
0.027933	35.8	0.0197523	-0.44099	0.11535	0.0958256	0.0169549
