#T	β	c	e	chiz	chic	s
0.045045	22.2	1.14244e-06	-2.14215	8.00496e-11	1.19879e-11	0.0300869
0.044843	22.3	1.14417e-06	-2.14215	7.3558e-11	1.0951e-11	0.0300869
0.0446429	22.4	1.14852e-06	-2.14215	6.76882e-11	9.79472e-12	0.0300869
0.0444444	22.5	1.15161e-06	-2.14215	6.23901e-11	9.15716e-12	0.0300869
0.0442478	22.6	1.15557e-06	-2.14215	5.76014e-11	8.0765e-12	0.0300869
0.0440529	22.7	1.16014e-06	-2.14215	5.32823e-11	7.51706e-12	0.0300869
0.0438596	22.8	1.16422e-06	-2.14215	4.93851e-11	6.97517e-12	0.0300869
0.0436681	22.9	1.16971e-06	-2.14215	4.58706e-11	6.57772e-12	0.0300869
0.0434783	23	1.17497e-06	-2.14215	4.26989e-11	6.2365e-12	0.0300869
0.04329	23.1	1.1809e-06	-2.14215	3.98418e-11	5.85274e-12	0.0300869
0.0431034	23.2	1.18713e-06	-2.14215	3.72656e-11	5.8441e-12	0.0300869
0.0429185	23.3	1.19244e-06	-2.14215	3.49471e-11	5.81844e-12	0.0300869
0.042735	23.4	1.1995e-06	-2.14215	3.28608e-11	5.57488e-12	0.0300869
0.0425532	23.5	1.20629e-06	-2.14215	3.09824e-11	5.89718e-12	0.0300869
0.0423729	23.6	1.21334e-06	-2.14215	2.92914e-11	6.32838e-12	0.0300869
0.0421941	23.7	1.22002e-06	-2.14215	2.77733e-11	6.64494e-12	0.0300869
0.0420168	23.8	1.2279e-06	-2.14215	2.64052e-11	7.18037e-12	0.0300869
0.041841	23.9	1.23473e-06	-2.14215	2.51757e-11	7.55798e-12	0.0300869
0.0416667	24	1.24233e-06	-2.14215	2.40705e-11	8.09412e-12	0.0300869
0.0414938	24.1	1.25111e-06	-2.14215	2.30764e-11	9.07844e-12	0.0300869
0.0413223	24.2	1.25829e-06	-2.14215	2.2179e-11	9.56927e-12	0.0300869
0.0411523	24.3	1.26576e-06	-2.14215	2.13769e-11	1.03794e-11	0.0300869
0.0409836	24.4	1.27427e-06	-2.14215	2.06511e-11	1.12535e-11	0.0300869
0.0408163	24.5	1.282e-06	-2.14215	2.00005e-11	1.17272e-11	0.0300869
0.0406504	24.6	1.29128e-06	-2.14215	1.94098e-11	1.27677e-11	0.0300869
0.0404858	24.7	1.29879e-06	-2.14215	1.86803e-11	1.35675e-11	0.0300869
0.0403226	24.8	1.30753e-06	-2.14215	1.78862e-11	1.37614e-11	0.0300869
0.0401606	24.9	1.31581e-06	-2.14215	1.72261e-11	1.37118e-11	0.0300869
0.04	25	1.32393e-06	-2.14215	1.65156e-11	1.38787e-11	0.0300869
0.0398406	25.1	1.33175e-06	-2.14215	1.58298e-11	1.36929e-11	0.0300869
0.0396825	25.2	1.34067e-06	-2.14215	1.53001e-11	1.37375e-11	0.0300869
0.0395257	25.3	1.34991e-06	-2.14215	1.48865e-11	1.31821e-11	0.0300869
0.0393701	25.4	1.35795e-06	-2.14215	1.45641e-11	1.24158e-11	0.0300869
0.0392157	25.5	1.36768e-06	-2.14215	1.43067e-11	1.22199e-11	0.0300869
0.0390625	25.6	1.37595e-06	-2.14215	1.41002e-11	1.19658e-11	0.0300869
0.0389105	25.7	1.38536e-06	-2.14215	1.39335e-11	1.13164e-11	0.0300869
0.0387597	25.8	1.3941e-06	-2.14215	1.37976e-11	1.03973e-11	0.0300869
0.03861	25.9	1.40271e-06	-2.14215	1.36891e-11	9.50603e-12	0.0300869
0.0384615	26	1.41285e-06	-2.14215	1.36008e-11	8.74892e-12	0.0300869
0.0383142	26.1	1.42197e-06	-2.14215	1.35243e-11	7.99761e-12	0.0300869
0.0381679	26.2	1.43208e-06	-2.14215	1.34479e-11	6.95602e-12	0.0300869
0.0380228	26.3	1.44177e-06	-2.14215	1.33895e-11	5.72118e-12	0.0300869
0.0378788	26.4	1.45101e-06	-2.14215	1.33438e-11	4.5835e-12	0.0300869
0.0377358	26.5	1.46168e-06	-2.14215	1.33061e-11	3.91493e-12	0.0300869
0.037594	26.6	1.47084e-06	-2.14215	1.32704e-11	2.80586e-12	0.0300869
0.0374532	26.7	1.48065e-06	-2.14215	1.32437e-11	1.99281e-12	0.0300869
0.0373134	26.8	1.49188e-06	-2.14215	1.32174e-11	1.67618e-12	0.0300869
0.0371747	26.9	1.50094e-06	-2.14215	1.31952e-11	1.34623e-12	0.0300869
0.037037	27	1.51152e-06	-2.14215	1.31758e-11	5.20833e-13	0.0300869
0.0369004	27.1	1.52192e-06	-2.14215	1.31598e-11	6.90159e-13	0.0300869
0.0367647	27.2	1.5302e-06	-2.14215	1.31473e-11	5.20079e-15	0.0300869
0.03663	27.3	1.54195e-06	-2.14215	1.31376e-11	-4.06742e-13	0.0300869
0.0364964	27.4	1.55238e-06	-2.14215	1.31316e-11	-7.73199e-13	0.0300869
0.0363636	27.5	1.56301e-06	-2.14215	1.3126e-11	-1.20831e-12	0.0300869
0.0362319	27.6	1.57374e-06	-2.14215	1.31272e-11	-1.58906e-12	0.0300869
0.0361011	27.7	1.58386e-06	-2.14215	1.31306e-11	-2.22689e-12	0.0300869
0.0359712	27.8	1.5943e-06	-2.14215	1.31387e-11	-2.90905e-12	0.0300869
0.0358423	27.9	1.6061e-06	-2.14215	1.31462e-11	-3.36016e-12	0.0300869
0.0357143	28	1.61648e-06	-2.14215	1.31591e-11	-4.14366e-12	0.0300869
0.0355872	28.1	1.62602e-06	-2.14215	1.31716e-11	-4.3819e-12	0.0300869
0.035461	28.2	1.63746e-06	-2.14215	1.31887e-11	-5.05713e-12	0.0300869
0.0353357	28.3	1.64799e-06	-2.14215	1.32062e-11	-5.39967e-12	0.0300869
0.0352113	28.4	1.65888e-06	-2.14215	1.3222e-11	-6.40914e-12	0.0300869
0.0350877	28.5	1.67042e-06	-2.14215	1.32397e-11	-6.95255e-12	0.0300869
0.034965	28.6	1.68007e-06	-2.14215	1.32551e-11	-7.31786e-12	0.0300869
0.0348432	28.7	1.69018e-06	-2.14215	1.32695e-11	-7.94668e-12	0.0300869
0.0347222	28.8	1.70266e-06	-2.14215	1.32792e-11	-8.34759e-12	0.0300869
0.0346021	28.9	1.71401e-06	-2.14215	1.32911e-11	-9.39717e-12	0.0300869
0.0344828	29	1.7261e-06	-2.14215	1.32995e-11	-9.67757e-12	0.0300869
0.0343643	29.1	1.73535e-06	-2.14215	1.33043e-11	-1.0451e-11	0.0300869
0.0342466	29.2	1.74709e-06	-2.14215	1.33067e-11	-1.0768e-11	0.0300869
0.0341297	29.3	1.75893e-06	-2.14215	1.33107e-11	-1.17419e-11	0.0300869
0.0340136	29.4	1.77065e-06	-2.14215	1.33079e-11	-1.18675e-11	0.0300869
0.0338983	29.5	1.78033e-06	-2.14215	1.33085e-11	-1.24542e-11	0.0300869
0.0337838	29.6	1.79081e-06	-2.14215	1.33055e-11	-1.32711e-11	0.0300869
0.03367	29.7	1.80243e-06	-2.14215	1.33022e-11	-1.37121e-11	0.0300869
0.033557	29.8	1.81505e-06	-2.14215	1.33006e-11	-1.43579e-11	0.0300869
0.0334448	29.9	1.82598e-06	-2.14215	1.3296e-11	-1.46415e-11	0.0300869
0.0333333	30	1.83725e-06	-2.14215	1.32943e-11	-1.58443e-11	0.0300869
0.0332226	30.1	1.84658e-06	-2.14215	1.32933e-11	-1.58861e-11	0.0300869
0.0331126	30.2	1.86022e-06	-2.14215	1.32951e-11	-1.69369e-11	0.0300869
0.0330033	30.3	1.87095e-06	-2.14215	1.32969e-11	-1.74601e-11	0.0300869
0.0328947	30.4	1.88244e-06	-2.14215	1.32987e-11	-1.79519e-11	0.0300869
0.0327869	30.5	1.894e-06	-2.14215	1.33018e-11	-1.8916e-11	0.0300869
0.0326797	30.6	1.90484e-06	-2.14215	1.33063e-11	-1.97475e-11	0.0300869
