#T	β	c	e	chiz	chic	s
0.0398406	25.1	0.000478136	-1.35756	2.57523e-05	3.57447e-05	0.0162357
0.0396825	25.2	0.000473222	-1.35756	2.47332e-05	3.43656e-05	0.016235
0.0395257	25.3	0.000468562	-1.35756	2.37544e-05	3.30395e-05	0.0162342
0.0393701	25.4	0.00046415	-1.35756	2.28143e-05	3.17644e-05	0.0162335
0.0392157	25.5	0.000459974	-1.35756	2.19113e-05	3.05383e-05	0.0162329
0.0390625	25.6	0.000456029	-1.35756	2.1044e-05	2.93594e-05	0.0162322
0.0389105	25.7	0.000452305	-1.35756	2.0211e-05	2.82259e-05	0.0162316
0.0387597	25.8	0.000448794	-1.35756	1.9411e-05	2.7136e-05	0.016231
0.03861	25.9	0.00044549	-1.35756	1.86426e-05	2.6088e-05	0.0162305
0.0384615	26	0.000442386	-1.35756	1.79046e-05	2.50804e-05	0.0162299
0.0383142	26.1	0.000439474	-1.35756	1.71958e-05	2.41116e-05	0.0162294
0.0381679	26.2	0.000436748	-1.35756	1.6515e-05	2.31802e-05	0.0162289
0.0380228	26.3	0.0004342	-1.35756	1.58612e-05	2.22846e-05	0.0162284
0.0378788	26.4	0.000431827	-1.35756	1.52333e-05	2.14235e-05	0.016228
0.0377358	26.5	0.00042962	-1.35756	1.46302e-05	2.05957e-05	0.0162275
0.037594	26.6	0.000427574	-1.35756	1.40511e-05	1.97998e-05	0.0162271
0.0374532	26.7	0.000425685	-1.35756	1.34948e-05	1.90345e-05	0.0162267
0.0373134	26.8	0.000423946	-1.35756	1.29606e-05	1.82988e-05	0.0162263
0.0371747	26.9	0.000422352	-1.35756	1.24476e-05	1.75915e-05	0.0162259
0.037037	27	0.000420899	-1.35756	1.19548e-05	1.69115e-05	0.0162255
0.0369004	27.1	0.000419581	-1.35756	1.14816e-05	1.62577e-05	0.0162252
0.0367647	27.2	0.000418394	-1.35756	1.10272e-05	1.56292e-05	0.0162249
0.03663	27.3	0.000417334	-1.35756	1.05908e-05	1.5025e-05	0.0162245
0.0364964	27.4	0.000416396	-1.35756	1.01717e-05	1.44441e-05	0.0162242
0.0363636	27.5	0.000415576	-1.35756	9.76915e-06	1.38857e-05	0.0162239
0.0362319	27.6	0.00041487	-1.35756	9.38261e-06	1.33488e-05	0.0162237
0.0361011	27.7	0.000414275	-1.35756	9.01139e-06	1.28328e-05	0.0162234
0.0359712	27.8	0.000413787	-1.35756	8.6549e-06	1.23366e-05	0.0162231
0.0358423	27.9	0.000413401	-1.35756	8.31255e-06	1.18597e-05	0.0162229
0.0357143	28	0.000413116	-1.35756	7.98379e-06	1.14012e-05	0.0162226
0.0355872	28.1	0.000412927	-1.35756	7.66806e-06	1.09605e-05	0.0162224
0.035461	28.2	0.000412832	-1.35756	7.36487e-06	1.05368e-05	0.0162222
0.0353357	28.3	0.000412828	-1.35756	7.07371e-06	1.01295e-05	0.016222
0.0352113	28.4	0.000412911	-1.35756	6.79411e-06	9.73799e-06	0.0162218
0.0350877	28.5	0.00041308	-1.35756	6.52561e-06	9.36164e-06	0.0162216
0.034965	28.6	0.000413332	-1.35756	6.26777e-06	8.99988e-06	0.0162214
0.0348432	28.7	0.000413665	-1.35756	6.02017e-06	8.65214e-06	0.0162212
0.0347222	28.8	0.000414075	-1.35756	5.7824e-06	8.31788e-06	0.016221
0.0346021	28.9	0.000414561	-1.35756	5.55408e-06	7.99658e-06	0.0162209
0.0344828	29	0.00041512	-1.35756	5.33483e-06	7.68774e-06	0.0162207
0.0343643	29.1	0.00041575	-1.35756	5.12429e-06	7.39088e-06	0.0162205
0.0342466	29.2	0.000416449	-1.35756	4.92211e-06	7.10554e-06	0.0162204
0.0341297	29.3	0.000417213	-1.35756	4.72797e-06	6.83127e-06	0.0162202
0.0340136	29.4	0.000418042	-1.35756	4.54155e-06	6.56764e-06	0.0162201
